CAN 广州白云国际机场 广州
CTU 成都双流国际机场 成都
SZX 深圳宝安国际机场 深圳
HKG 香港国际机场 香港
MFM 澳门国际机场 澳门
TPE 台湾桃园国际机场 台北
HND 东京羽田国际机场 东京
NRT 东京成田国际机场 东京
ICN 仁川国际机场 首尔
SIN 新加坡樟宜机场 新加坡
BKK 曼谷素万那普机场 曼谷
KUL 吉隆坡国际机场 吉隆坡
DXB 迪拜国际机场 迪拜
FRA 法兰克福机场 法兰克福
CDG 巴黎戴高乐机场 巴黎
LHR 伦敦希思罗机场 伦敦
JFK 纽约肯尼迪机场 纽约
SHE 沈阳桃仙国际机场 沈阳
HDG 邯郸机场 邯郸
PEK 北京国际机场 北京
MAS 火星星际航空机场 火星
PVG 上海浦东国际机场 上海
SHA 上海虹桥国际机场 上海
XIY 西安咸阳国际机场 西安
CKG 重庆江北国际机场 重庆
NKG 南京禄口国际机场 南京
HGH 杭州萧山国际机场 杭州
XMN 厦门高崎国际机场 厦门
WUH 武汉天河国际机场 武汉
CSX 长沙黄花国际机场 长沙
TAO 青岛胶东国际机场 青岛
CGO 郑州新郑国际机场 郑州
KMG 昆明长水国际机场 昆明
SYX 三亚凤凰国际机场 三亚
TYN 太原武宿国际机场 太原
URC 乌鲁木齐地窝堡国际机场 乌鲁木齐
HRB 哈尔滨太平国际机场 哈尔滨
DLC 大连周水子国际机场 大连
TSN 天津滨海国际机场 天津
PKX 北京大兴国际机场 北京
KHN 南昌昌北国际机场 南昌
KWE 贵阳龙洞堡国际机场 贵阳
NNG 南宁吴圩国际机场 南宁
LHW 兰州中川国际机场 兰州
HET 呼和浩特白塔国际机场 呼和浩特
INC 银川河东国际机场 银川
XNN 西宁曹家堡机场 西宁
LXA 拉萨贡嘎机场 拉萨
ZUH 珠海金湾机场 珠海
WUX 苏南硕放国际机场 无锡
NGB 宁波栎社国际机场 宁波
WNZ 温州龙湾国际机场 温州
JJN 泉州晋江国际机场 泉州
LYG 连云港花果山机场 连云港
YNJ 延吉朝阳川国际机场 延吉
LYI 临沂启阳机场 临沂
WUS 武夷山机场 武夷山
ZYI 遵义新舟机场 遵义
ACX 兴义万峰林机场 兴义
AEB 百色巴马机场 百色
ABC 呵呵二号 123
