20250407-001 21 12 SZX HKG 2025 4 7 21 55 2025 4 7 21 55 21 1 1 0 1.00 1 1 0 1.00 1 1 0 1.00
20250317-002 K-11 Korean CTU MFM 2025 3 17 11 28 2025 3 17 11 50 K-11 Y 222 0 1.00 B 22 0 1.00 F 2 0 1.00
20250317-001 K-111 Korean CAN MFM 2025 3 17 11 26 2025 3 17 11 50 K-111 Y 111 0 1.00 B 11 0 1.00 F 1 0 1.00
20231002-002 MU5302 中国东方航空 SHA CAN 2023 10 2 14 0 2023 10 2 16 45 B-2234 Y 200 120 0.90 B 40 8 1.40 F 15 3 1.80
20231003-003 CZ3456 中国南方航空 CTU SZX 2023 10 3 9 15 2023 10 3 11 30 B-3345 Y 160 90 1.10 B 35 15 1.60 F 12 2 2.20
20231004-004 3U8001 四川航空 CAN KMG 2023 10 4 18 20 2023 10 4 20 40 B-4567 Y 190 60 0.95 B 30 10 1.30 F 10 1 1.90
20231005-005 MF8212 厦门航空 CAN XMN 2023 10 5 7 45 2023 10 5 10 15 B-5678 Y 170 100 1.05 B 25 5 1.45 F 8 0 2.10
20231006-006 CA975 中国国际航空 PEK SIN 2023 10 6 23 30 2023 10 7 5 15 B-6789 Y 300 200 0.85 B 60 25 1.60 F 18 6 2.50
20231007-007 HG7788 海南航空 HGH SYX 2023 10 7 12 15 2023 10 7 15 0 B-7890 Y 150 80 1.20 B 28 8 1.70 F 6 2 2.30
20231008-008 SC1155 山东航空 URC CKG 2023 10 8 6 0 2023 10 8 9 30 B-8901 Y 130 51 1.15 B 20 3 1.80 F 4 0 2.40
20231009-009 CI642 中华航空 HKG TPE 2023 10 9 16 45 2023 10 9 18 30 B-9012 Y 180 149 0.80 B 45 20 1.40 F 15 1 2.00
20231010-010 TV9802 西藏航空 WUH LXA 2023 10 10 10 0 2023 10 10 13 15 B-0123 Y 120 40 1.25 B 15 2 1.90 F 3 0 2.60
20231115-001 TV9803 西藏航空 WUH LXA 2023 10 10 10 0 2023 10 10 13 15 B-0123 Y 120 40 1.25 B 15 2 1.90 F 3 0 2.60
20261115-001 TV9803 西藏航空 WUH LXA 2026 10 10 10 0 2026 10 10 13 15 B-0123 Y 120 41 1.25 B 15 2 1.90 F 3 2 2.60
20260115-001 CA2026 中国国际航空 PEK CAN 2026 1 15 8 30 2026 1 15 11 15 B-2026A Y 180 150 0.85 B 50 20 1.50 F 20 5 2.50
20260328-002 MU2026 中国东方航空 SHA CTU 2026 3 28 14 20 2026 3 28 17 10 B-2026B Y 160 130 0.90 B 45 15 1.60 F 18 4 2.80
20260712-003 CZ2026 中国南方航空 CAN SIA 2026 7 12 9 45 2026 7 12 12 30 B-2026C Y 200 170 0.80 B 60 25 1.70 F 25 6 3.20
20261001-004 3U2026 四川航空 CTU HKG 2026 10 1 16 0 2026 10 1 19 20 B-2026D Y 170 140 0.95 B 55 18 1.55 F 22 5 2.90
20261224-005 HO2026 吉祥航空 SHA XMN 2026 12 24 20 15 2026 12 24 22 45 B-2026E Y 150 120 1.05 B 40 12 1.65 F 15 3 3.00
